date,open,high,low,close,volume,quote_volume,taker_buy_quote_volume
2026-07-07 23:00:00,69.716,69.921,69.119,69.186,174672.33,12146665.99305,5672742.67277
2026-07-08 00:00:00,69.187,69.75,69.112,69.457,268334.64,18657181.55963,10604210.78992
2026-07-08 01:00:00,69.458,69.557,67.46,68.102,906936.04,61945157.29609,24058454.30997
2026-07-08 02:00:00,68.102,68.385,67.152,68.249,642441.05,43545728.3336,19939342.17212
2026-07-08 03:00:00,68.25,68.556,67.857,68.039,255892.99,17468899.57052,8343387.75335
2026-07-08 04:00:00,68.039,68.342,67.802,68.213,180864.22,12314087.29071,6716488.75887
2026-07-08 05:00:00,68.212,68.45,68.012,68.351,175000.34,11947992.2575,6092428.97488
2026-07-08 06:00:00,68.354,68.4,67.81,68.163,210111.43,14300609.20251,6300133.10335
2026-07-08 07:00:00,68.164,68.389,67.718,68.247,206751.91,14077083.06525,7375291.95388
2026-07-08 08:00:00,68.248,68.426,67.365,67.985,576613.6,39154178.23641,18304841.19426
2026-07-08 09:00:00,67.984,68.498,67.724,67.987,321607.23,21903857.06294,10908241.98271
2026-07-08 10:00:00,67.988,68.325,67.847,68.232,211087.72,14375142.35201,7662297.8588
2026-07-08 11:00:00,68.236,69.114,67.848,68.865,364500.69,24973866.15582,15745279.6064
2026-07-08 12:00:00,68.868,68.897,67.931,67.959,271146.79,18568791.66164,7323895.78358
2026-07-08 13:00:00,67.96,68.402,67.375,67.897,606063.97,41128765.21937,20742976.66697
2026-07-08 14:00:00,67.892,68.08,67.201,67.385,419735.47,28389316.16681,13630969.95626
2026-07-08 15:00:00,67.385,67.407,66.536,66.905,631640.59,42288042.57453,18632342.92533
2026-07-08 16:00:00,66.906,67.738,66.887,67.644,334652.87,22556639.64376,14469311.45881
2026-07-08 17:00:00,67.645,67.954,67.429,67.554,202716.27,13717775.40788,7600613.26934
2026-07-08 18:00:00,67.554,67.777,66.634,66.788,281389.74,18869880.2954,8425809.30384
